RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;D66;PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;Forum voor Democratie;Partij voor de Dieren;ChristenUnie;Volt;JA21;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS;BBB;BIJ1;CODE ORANJE;NIDA;Splinter;Piratenpartij;JONG;Trots op Nederland (TROTS);Lijst Henk Krol;NLBeter;Blanco (Zeven, A.J.L.B.);LP (Libertaire Partij);OPRECHT;JEZUS LEEFT;DE FEESTPARTIJ (DFP);U-Buntu Connected Front;Vrij en Sociaal Nederland;Partij van de Eenheid;Wij zijn Nederland;Partij voor de Republiek;Modern Nederland;De Groenen
Veldhoven;G0861;10071;'s-Hertogenbosch;K18;34559;27882;46;43;27793;8339;4089;3187;2671;2210;1319;1074;1322;747;334;666;593;46;91;419;90;52;151;22;80;48;55;41;46;22;15;9;11;9;34;;;1;;;;
Velsen;G0453;10620;Haarlem;K10;53388;41658;79;79;41500;9902;6625;5815;2834;2615;2271;1779;2676;1726;877;875;1210;106;562;501;128;165;180;45;125;84;73;128;45;39;;16;29;;46;2;14;;7;;;
Venlo;G0983;10477;Maastricht;K19;76044;55910;83;129;55698;11983;7273;10215;5329;3803;3473;2342;3251;1712;317;815;1120;64;1840;814;190;120;141;178;150;99;72;104;62;46;59;44;30;;40;;;6;6;;;
Venray;G0984;11222;Maastricht;K19;33675;25870;44;56;25770;6325;3647;3291;3419;2110;1314;995;1261;585;157;433;491;32;374;329;549;45;73;54;55;30;40;46;19;19;24;9;7;;19;;;12;6;;;
Vijfheerenlanden;G1961;10685;Utrecht;K8;44353;35692;55;48;35589;7902;3792;4089;4265;1608;1637;985;1612;865;2532;451;804;2813;962;333;285;104;92;76;73;61;39;59;31;18;;17;30;15;30;3;6;;;;;
Vlaardingen;G0622;10811;Dordrecht;K14;54667;40381;86;78;40217;8374;5066;5479;2734;2942;2353;1619;2277;1431;1173;578;1431;574;2393;500;76;277;207;275;120;86;64;;35;34;37;20;17;23;;;;;7;;15;
Vlieland;G0096;10211;Leeuwarden;K2;911;954;0;0;954;248;188;66;67;65;64;54;32;52;15;29;31;0;0;11;6;6;6;0;3;1;3;5;0;2;;0;0;0;;;0;;;0;;0
Vlissingen;G0718;10270;Middelburg;K16;33880;24444;48;51;24345;4975;2987;2867;1945;1854;1899;920;1824;1014;789;355;608;493;399;544;150;127;138;51;97;79;45;;26;39;35;7;34;33;;;;11;;;;
Voerendaal;G0986;11341;Maastricht;K19;10148;8436;10;21;8405;1909;1115;1209;1064;595;699;314;436;350;80;127;174;11;17;106;61;14;21;0;32;10;16;10;11;6;10;1;3;;4;;;0;0;;;
Voorschoten;G0626;10537;Leiden;K15;18100;16280;26;13;16241;4410;3362;1285;1516;630;789;955;552;679;372;551;483;56;107;138;38;61;87;31;46;26;18;;9;19;8;6;2;3;;1;;;;;1;
Voorst;G0285;10912;Arnhem;K7;19711;16429;22;18;16389;4598;2336;1344;2188;824;859;619;524;443;437;278;348;299;63;180;811;20;60;1;36;21;28;19;8;4;15;3;12;11;;0;;;;;;
