RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;D66;PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;Forum voor Democratie;Partij voor de Dieren;ChristenUnie;Volt;JA21;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS;BBB;BIJ1;CODE ORANJE;NIDA;Splinter;Piratenpartij;JONG;Trots op Nederland (TROTS);Lijst Henk Krol;NLBeter;Blanco (Zeven, A.J.L.B.);LP (Libertaire Partij);OPRECHT;JEZUS LEEFT;DE FEESTPARTIJ (DFP);U-Buntu Connected Front;Vrij en Sociaal Nederland;Partij van de Eenheid;Wij zijn Nederland;Partij voor de Republiek;Modern Nederland;De Groenen
Amstelveen;G0362;10799;Haarlem;K10;57927;46874;102;74;46698;11937;9965;3453;3201;2217;3035;2866;1522;2175;944;1643;1048;161;537;448;66;662;122;148;127;129;68;36;36;37;;41;7;;24;23;20;;0;;;
Amsterdam;G0363;11150;Amsterdam;K9;582177;440919;2136;956;437827;55445;99649;22180;10815;21478;32783;44907;11971;30880;6214;25988;5282;586;29384;2355;343;25563;864;5053;1278;1819;383;301;297;276;;391;106;247;;384;144;221;;151;;89
Apeldoorn;G0200;11075;Arnhem;K7;128846;102081;173;178;101730;23443;14798;10081;9084;5610;5852;4684;5452;3840;5325;1892;2280;3447;1784;1047;962;281;343;147;324;180;138;238;105;65;123;50;80;67;;8;;;;;;
Arnhem;G0202;10795;Arnhem;K7;122535;90234;238;245;89751;15338;17412;8450;4190;5677;5832;8234;4231;5753;2035;3193;1436;251;3232;754;220;1298;377;414;335;337;149;118;76;77;140;71;53;50;;18;;;;;;
Assen;G0106;10522;Assen;K3;53867;42590;72;73;42445;7842;6628;3725;3579;3446;3929;2324;2159;1546;3399;709;804;310;220;433;378;140;156;60;151;76;59;109;29;38;56;26;70;34;;;;;;;10;
Asten;G0743;10478;'s-Hertogenbosch;K18;12904;10831;15;16;10800;3159;1334;1186;1789;786;360;283;486;275;50;202;271;13;35;144;260;9;34;6;27;9;12;20;8;13;10;7;0;1;11;;;0;;;;
Baarle-Nassau;G0744;10060;Tilburg;K17;5386;4249;19;3;4227;1107;404;643;714;284;155;98;243;132;24;37;132;5;5;71;108;4;13;0;13;5;5;;3;7;5;0;1;0;8;1;;0;;;;
Baarn;G0308;11411;Utrecht;K8;19355;15847;31;31;15785;3994;2927;1302;1426;630;814;898;684;764;587;458;433;143;217;138;39;54;44;22;53;32;18;22;14;26;;19;7;4;8;6;2;;;;;
Barendrecht;G0489;10943;Dordrecht;K14;36760;29823;48;48;29727;7638;4052;3496;2410;1378;1245;925;1582;827;1206;436;1418;1254;644;364;43;203;118;219;78;45;30;;23;29;25;10;7;13;;;;;6;;3;
Barneveld;G0203;10906;Arnhem;K7;43718;37653;40;42;37571;6863;2292;3011;5207;788;607;591;2185;499;4231;302;802;8675;351;187;497;48;96;33;40;38;41;42;17;13;19;11;42;40;;3;;;;;;
Beek;G0888;11374;Maastricht;K19;13072;10616;20;24;10572;2351;1382;1724;1340;701;757;371;677;392;74;135;192;5;52;166;63;10;38;9;20;19;18;26;10;8;7;6;5;;13;;;1;0;;;
Beekdaelen;G1954;10104;Maastricht;K19;29403;23425;31;48;23346;4965;2687;3922;2963;1753;1781;879;1574;888;160;326;453;36;33;280;186;38;66;7;67;45;36;53;58;14;34;11;8;;21;;;1;1;;;
Beemster;G0370;10816;Den Helder;K11;7870;6732;11;8;6713;2175;943;643;610;298;339;257;293;262;51;132;240;13;25;51;246;25;23;1;21;17;5;11;5;13;5;2;1;1;4;1;;;0;;;
Beesel;G0889;10195;Maastricht;K19;10714;8032;10;15;8007;1800;982;1443;910;580;513;276;452;203;46;98;179;8;93;147;91;8;27;17;19;7;22;32;19;4;11;6;5;;7;;;0;2;;;
Berg en Dal;G1945;10616;Nijmegen;K6;28200;22977;27;31;22919;5438;3574;3024;2265;1793;1458;1393;802;1137;176;471;481;33;43;233;213;88;58;6;38;42;22;32;24;15;30;9;6;5;10;;;;;;;
Bergeijk;G1724;11160;'s-Hertogenbosch;K18;14877;12120;21;17;12082;3747;1348;1334;2004;737;453;369;505;332;81;223;292;25;5;174;243;10;34;6;31;14;27;19;27;14;6;2;7;1;12;;;0;;;;
Bergen;G0893;11281;Maastricht;K19;10603;8200;21;21;8158;1983;821;1475;1137;709;374;222;439;210;42;98;220;10;7;85;180;11;24;7;13;9;13;21;14;2;12;5;3;;11;;;0;1;;;
Bergen;G0373;11424;Den Helder;K11;24347;20789;34;45;20710;5280;3814;1999;1828;962;1183;1073;932;1417;233;556;579;30;15;162;170;48;76;2;68;46;30;36;23;26;83;13;9;4;12;0;;;1;;;
Bergen op Zoom;G0748;11037;Tilburg;K17;51656;38428;74;39;38315;10464;5120;5133;3079;2586;1924;1552;1915;1215;414;527;966;68;1721;508;149;104;174;203;146;68;61;;47;33;48;11;13;18;40;0;;8;;;;
Berkelland;G1859;10436;Arnhem;K7;35557;29706;33;31;29642;6706;3568;2794;4686;2096;2044;920;1301;717;427;430;675;72;93;296;2383;41;95;11;69;35;47;59;9;12;34;9;6;7;;0;;;;;;
Bernheze;G1721;10149;'s-Hertogenbosch;K18;24439;19799;25;22;19752;6083;2681;2008;2845;2023;641;558;741;367;112;308;463;17;48;279;261;31;62;9;38;39;31;37;10;12;9;6;12;1;19;;;1;;;;
Best;G0753;10442;'s-Hertogenbosch;K18;23005;18600;25;26;18549;5372;2890;2095;1842;1314;814;709;825;458;408;412;407;52;204;238;83;41;78;26;34;42;40;28;47;18;18;6;6;8;31;;;3;;;;
Beuningen;G0209;10417;Nijmegen;K6;20833;16626;23;23;16580;4782;2508;2075;1537;1228;891;735;776;459;144;269;466;28;65;221;100;56;57;13;39;18;15;26;16;15;12;1;8;8;12;;;;;;;
Beverwijk;G0375;10272;Haarlem;K10;30700;23295;41;54;23200;5121;3262;3156;1521;1723;1291;1170;1636;1029;270;401;728;35;709;334;72;135;123;81;92;63;42;66;42;33;;12;15;;17;4;11;;6;;;
Bladel;G1728;11006;'s-Hertogenbosch;K18;16129;12977;12;16;12949;3822;1698;1467;1761;1007;515;428;608;313;86;263;304;14;18;209;179;20;50;1;45;18;28;23;24;3;15;9;10;0;10;;;1;;;;
Blaricum;G0376;10493;Haarlem;K10;8896;7692;13;8;7671;2835;1276;623;730;260;294;182;358;230;142;208;244;23;63;61;19;11;28;29;13;8;8;7;6;4;;3;3;;2;1;0;;0;;;
Bloemendaal;G0377;10850;Haarlem;K10;17760;15683;24;31;15628;5054;3765;745;1370;403;697;677;422;790;249;783;311;29;23;87;21;50;27;3;36;14;13;17;8;11;;8;4;;5;0;6;;0;;;
Bodegraven-Reeuwijk;G1901;11091;Leiden;K15;26786;22714;41;43;22630;5882;2728;1931;2834;746;745;661;1079;505;1611;361;708;1784;293;160;239;49;68;55;51;40;21;;9;14;22;7;7;18;;0;;;;;2;
Boekel;G0755;10432;'s-Hertogenbosch;K18;8440;6802;13;7;6782;1922;795;776;1252;540;199;163;334;160;36;72;158;2;4;61;182;12;23;5;11;10;14;13;13;4;3;3;2;3;9;;;1;;;;
Bonaire;O9001;10084;Bonaire;K20;13490;3082;32;33;3017;360;431;147;864;75;271;154;126;120;153;39;31;10;92;15;;79;11;4;;18;;;;;;4;;;;13;;;;;;
Borger-Odoorn;G1681;10448;Assen;K3;21070;16778;17;20;16741;3479;1881;2349;1628;1435;1638;517;976;570;576;180;379;122;5;175;457;22;55;0;44;22;23;61;10;16;29;5;79;8;;;;;;;0;
Borne;G0147;10326;Zwolle;K4;18415;15711;26;20;15665;3898;2123;1659;3368;982;778;482;642;314;251;224;279;45;45;118;262;12;38;3;27;19;14;26;9;10;9;7;9;7;;0;;1;4;;;
Borsele;G0654;10043;Middelburg;K16;17613;14582;9;23;14550;2965;1290;1431;1946;671;588;338;763;368;498;145;408;2413;13;184;330;17;55;3;34;13;24;;7;13;14;6;2;11;;;;0;;;;
Boxmeer;G0756;11227;'s-Hertogenbosch;K18;23584;19820;31;38;19751;5053;2838;2099;2871;2165;903;649;745;487;131;303;497;14;100;201;351;29;52;20;65;25;29;39;11;18;15;13;1;2;20;;;5;;;;
Boxtel;G0757;10083;'s-Hertogenbosch;K18;25323;19556;29;32;19495;5250;3215;2026;2153;1691;939;884;804;656;162;361;336;25;264;171;119;53;46;100;48;32;47;30;13;12;14;10;4;4;26;;;0;;;;
Breda;G0758;10154;Tilburg;K17;140831;110855;195;180;110480;29325;22138;9612;7653;6631;5677;6513;5046;4592;1043;3330;2289;153;2059;1152;306;623;375;419;386;303;225;;87;98;140;80;88;27;83;14;;13;;;;
Brielle;G0501;10232;Dordrecht;K14;13892;11047;9;26;11012;3138;1381;1552;842;665;583;295;776;371;167;142;596;45;36;147;66;24;67;2;36;12;22;;5;8;12;5;10;3;;;;;4;;0;
Bronckhorst;G1876;11159;Arnhem;K7;29674;24699;32;31;24636;6390;3136;2119;4009;1293;1413;827;762;737;600;377;623;204;19;217;1556;39;66;3;42;26;30;40;20;20;29;22;8;8;;1;;;;;;
Brummen;G0213;10798;Arnhem;K7;17081;13782;26;21;13735;3526;1990;1480;1323;919;1015;630;569;518;302;212;339;33;214;146;289;24;40;10;17;32;24;24;9;8;21;7;6;7;;1;;;;;;
Brunssum;G0899;10533;Maastricht;K19;22558;16333;30;43;16260;2694;1358;3593;1317;1725;1386;457;1679;576;235;136;293;36;85;262;44;43;68;18;51;32;21;42;36;14;29;4;3;;16;;;3;4;;;
Bunnik;G0312;10820;Utrecht;K8;11614;10322;6;9;10307;2453;2254;637;1100;367;587;940;225;449;336;305;174;145;31;91;67;46;13;0;18;18;9;14;4;5;;2;0;3;7;1;6;;;;;
Bunschoten;G0313;11343;Utrecht;K8;16079;13761;17;23;13721;2106;570;1953;2605;204;136;124;954;118;3014;77;367;1121;87;46;83;10;24;4;9;11;11;20;5;1;;2;5;52;1;0;1;;;;;
Buren;G0214;11286;Nijmegen;K6;21356;17392;25;21;17346;4948;1906;2564;1630;767;829;446;903;563;532;213;520;819;30;131;251;35;70;4;53;26;16;40;12;3;9;9;4;5;8;;;;;;;
Capelle aan den IJssel;G0502;11248;Leiden;K15;50963;37072;122;85;36865;7721;5102;4189;2237;2303;1966;1432;2210;1342;1518;583;1713;1879;704;484;52;563;230;147;88;89;57;;34;34;49;16;64;31;;13;;;;;15;
Castricum;G0383;11287;Den Helder;K11;27119;25279;24;45;25210;6406;4919;1871;2521;1172;1464;1532;1111;1397;322;715;697;37;52;251;191;91;89;1;86;49;52;41;22;34;37;14;8;13;14;0;;;1;;;
Coevorden;G0109;10383;Assen;K3;28398;22543;34;34;22475;5087;2499;3103;2915;1577;1941;625;1244;611;574;246;543;150;37;229;736;30;76;7;52;26;29;48;26;16;15;6;11;14;;;;;;;2;
Cranendonck;G1706;10219;'s-Hertogenbosch;K18;16178;12771;21;19;12731;3486;1380;2040;1792;928;500;320;675;314;82;192;402;16;18;161;178;31;41;3;27;23;24;33;18;9;11;2;4;8;13;;;0;;;;
Cuijk;G1684;10023;'s-Hertogenbosch;K18;20105;15830;30;20;15780;3926;2279;1807;1758;1587;728;637;720;494;111;229;368;17;429;168;177;48;42;29;44;33;25;40;16;13;9;8;16;4;15;;;3;;;;
Culemborg;G0216;10342;Nijmegen;K6;22210;18064;33;35;17996;3821;3057;1668;1334;897;1116;1410;724;850;514;490;384;150;769;173;53;114;46;124;63;40;25;40;20;13;28;12;51;5;5;;;;;;;
Dalfsen;G0148;11007;Zwolle;K4;22525;19421;20;21;19380;4210;2217;1519;4014;827;812;499;750;353;1744;215;427;433;4;150;984;16;30;1;24;28;24;29;17;11;17;6;6;10;;2;;1;0;;;
Dantumadiel;G1891;10650;Leeuwarden;K2;15038;11884;15;9;11860;1316;733;1779;2262;797;754;235;1022;232;1268;101;217;632;3;52;259;16;44;2;26;20;22;28;4;5;;2;4;23;;;0;;;1;;1
De Bilt;G0310;10168;Utrecht;K8;33103;28486;40;55;28391;6859;5898;1806;2271;1147;1594;1973;876;1514;1020;967;553;773;305;203;90;155;43;65;79;49;22;28;22;23;;12;9;6;11;2;16;;;;;
De Fryske Marren;G1940;10022;Leeuwarden;K2;40845;33825;36;53;33736;6859;3906;3495;6034;1960;2538;961;2675;913;1105;365;772;317;47;233;1067;31;103;7;81;28;52;78;29;24;;12;15;12;;;11;;;4;;2
De Ronde Venen;G0736;11379;Utrecht;K8;34757;29526;61;43;29422;8695;4546;2990;3282;957;1067;1022;1430;942;916;693;948;383;267;340;321;132;107;54;69;47;36;42;23;41;;17;7;13;18;2;15;;;;;
De Wolden;G1690;10262;Assen;K3;19655;16733;32;8;16693;4186;1848;1734;2431;786;1047;499;880;511;664;182;454;142;4;165;877;22;64;2;33;18;28;42;14;17;29;6;5;3;;;;;;;0;
Delft;G0503;10928;Dordrecht;K14;74248;59046;127;116;58803;9822;12752;4877;3248;3185;3476;5237;2139;2854;1724;4416;1290;261;1115;433;112;584;318;179;194;190;99;;47;34;87;63;21;33;;;;;6;;7;
Den Helder;G0400;10285;Den Helder;K11;44777;32501;67;70;32364;7725;3336;5328;3075;2077;1709;976;2732;1139;932;409;868;218;117;520;180;130;253;20;126;83;59;112;51;44;44;9;39;19;31;1;;;2;;;
Deurne;G0762;10379;'s-Hertogenbosch;K18;25545;20029;26;37;19966;5773;2298;2415;2938;1611;732;626;911;466;138;256;545;20;79;284;503;28;77;5;47;48;36;40;13;12;20;13;3;3;25;;;1;;;;
Deventer;G0150;10899;Zwolle;K4;79181;61428;138;109;61181;11527;11110;5182;4401;4147;4788;4457;2444;2760;1624;1864;907;183;1948;534;1863;322;157;70;214;156;91;116;46;46;83;34;59;22;;4;;8;14;;;
Diemen;G0384;11039;Haarlem;K10;22280;16374;46;45;16283;2984;3074;1408;765;869;1193;1456;642;843;273;682;384;37;441;156;20;637;79;98;51;60;34;18;24;10;;17;7;;5;8;7;;1;;;
Dinkelland;G1774;10245;Zwolle;K4;21226;18034;25;12;17997;4894;1477;1792;5627;554;463;296;598;261;119;218;415;24;8;111;1003;8;25;6;18;11;11;28;7;8;5;4;2;2;;0;;0;2;;;
Doesburg;G0221;10327;Arnhem;K7;9092;7058;7;11;7040;1369;1065;917;582;716;539;353;377;266;133;122;134;13;201;54;57;15;19;10;22;23;8;13;3;4;11;1;9;4;;0;;;;;;
Doetinchem;G0222;10396;Arnhem;K7;46245;36309;51;57;36201;8313;5424;4167;3972;2912;2328;1522;1841;1082;841;573;757;373;454;422;542;82;121;60;122;82;45;56;20;24;24;16;11;15;;0;;;;;;
Dongen;G0766;11412;Tilburg;K17;20776;16289;25;24;16240;4757;2436;1881;1669;1184;859;558;650;448;219;184;359;48;294;219;159;24;65;9;41;42;29;;18;25;18;7;14;5;18;0;;1;;;;
Dordrecht;G0505;11157;Dordrecht;K14;90249;66728;155;141;66432;13496;9197;7548;4219;4360;3680;3379;3489;3004;3405;1202;1639;2012;2860;855;130;522;283;278;246;163;97;;61;62;74;47;36;74;;;;;12;;2;
Drechterland;G0498;10642;Den Helder;K11;15279;12760;21;22;12717;3605;1770;1303;1586;676;533;440;791;427;112;212;532;22;18;150;244;24;53;6;42;20;28;42;17;18;17;10;6;4;8;0;;;1;;;
Drimmelen;G1719;10258;Tilburg;K17;21788;17376;16;22;17338;5441;2109;2368;1741;1270;801;478;951;509;152;243;419;43;20;221;294;24;62;12;37;22;30;;18;22;13;11;10;3;12;0;;2;;;;
Dronten;G0303;10210;Lelystad;K5;31359;25409;27;37;25345;6225;2865;2654;3334;1375;981;877;1611;710;1649;361;857;335;228;242;548;61;109;29;98;51;32;;33;21;;7;22;25;;1;;4;;;;
Druten;G0225;10068;Nijmegen;K6;15056;11848;22;12;11814;3492;1672;1462;1241;1036;616;385;482;262;81;177;273;15;142;144;142;16;41;7;17;13;19;23;11;10;6;4;8;4;13;;;;;;;
Duiven;G0226;11028;Arnhem;K7;20038;16349;27;30;16292;4589;2471;1857;1749;1074;925;628;724;512;301;258;506;36;56;198;114;39;84;5;44;17;22;32;15;11;10;6;6;3;;0;;;;;;
Echt-Susteren;G1711;10941;Maastricht;K19;25760;19818;28;19;19771;3983;2008;4059;2824;1333;1348;632;1342;642;137;204;363;18;67;262;188;29;57;18;58;34;21;50;23;16;19;8;8;;16;;;1;3;;;
Edam-Volendam;G0385;10884;Den Helder;K11;28786;24295;47;19;24229;4871;2088;5885;3214;769;808;616;1973;803;206;381;1597;43;81;177;243;71;103;20;58;50;26;44;25;20;20;7;3;11;12;0;;;4;;;
Ede;G0228;10743;Arnhem;K7;89676;74626;118;91;74417;14348;8129;6093;7977;2467;2539;3059;3638;2165;7862;1241;1584;9226;1582;565;540;223;159;214;174;103;97;130;47;50;57;26;63;54;;5;;;;;;
Eemnes;G0317;10248;Utrecht;K8;7315;6321;12;10;6299;1934;998;600;636;263;299;221;277;271;176;157;217;34;6;47;58;18;17;1;14;16;8;11;4;6;;1;2;1;3;0;3;;;;;
Eemsdelta;G1979;10976;Groningen;K1;36493;26887;48;47;26792;3971;2689;3467;3129;3505;2817;904;1495;830;1560;231;389;211;320;288;537;63;69;14;69;35;22;57;18;18;;8;20;17;30;4;5;;;;;
Eersel;G0770;10741;'s-Hertogenbosch;K18;15594;12695;10;25;12660;3886;1853;1139;1904;762;490;437;425;348;108;427;267;12;11;155;191;8;48;4;32;21;26;25;19;20;10;11;5;1;13;;;2;;;;
Eijsden-Margraten;G1903;11243;Maastricht;K19;20707;17162;34;43;17085;4307;2487;2069;2296;924;1562;738;730;635;109;306;350;21;17;188;113;15;28;2;42;21;24;26;15;22;20;5;1;;11;;;1;0;;;
Eindhoven;G0772;11298;'s-Hertogenbosch;K18;164596;123651;276;316;123059;24311;23398;11861;7646;8946;6561;9244;5848;5564;1736;5782;1959;251;3902;1535;188;1015;499;562;406;454;233;190;209;103;187;98;56;61;165;;;89;;;;
Elburg;G0230;11113;Arnhem;K7;17956;15152;131;16;15005;2690;835;1608;2169;508;390;245;688;233;2584;83;321;2212;9;90;176;15;29;1;21;9;13;31;4;7;9;4;5;15;;1;;;;;;
Emmen;G0114;11180;Assen;K3;85911;64761;120;89;64552;11658;6371;11938;7033;6227;5750;1830;4516;1663;1865;646;1288;319;322;918;971;118;243;42;150;99;105;198;63;57;44;31;38;42;;;;;;;7;
Enkhuizen;G0388;10729;Den Helder;K11;14298;11305;24;19;11262;2373;1837;1286;880;907;723;453;738;505;237;202;332;153;143;124;54;40;71;7;54;26;25;23;5;16;23;5;4;4;10;0;;;2;;;
Enschede;G0153;10364;Zwolle;K4;120141;90423;206;176;90041;15071;12361;12150;10162;6145;5896;4908;6263;2851;2845;3547;1607;363;2437;722;529;448;282;202;243;306;139;140;65;68;83;56;32;44;;15;;14;47;;;
Epe;G0232;10940;Arnhem;K7;26733;21717;29;31;21657;5365;2424;2299;2508;1063;1332;665;992;692;1329;263;501;913;297;225;420;31;44;13;52;33;19;43;15;12;18;11;56;22;;0;;;;;;
Ermelo;G0233;10732;Arnhem;K7;21269;17718;24;27;17667;3583;1817;1489;2672;631;613;568;890;575;2235;235;462;1285;70;138;143;31;50;6;35;18;16;26;16;12;14;6;7;22;;2;;;;;;
Etten-Leur;G0777;10750;Tilburg;K17;33511;25699;45;34;25620;7581;3443;3280;2426;1806;1319;989;1291;636;273;341;658;32;471;342;170;69;92;115;90;35;38;;28;21;19;9;15;10;20;0;;1;;;;
Geertruidenberg;G0779;10101;Tilburg;K17;17247;13240;21;19;13200;3855;1416;2087;1231;1149;673;346;813;335;141;147;335;26;39;201;116;25;57;5;69;23;21;;15;21;11;5;15;3;19;0;;1;;;;
Geldrop-Mierlo;G1771;10529;'s-Hertogenbosch;K18;31024;24843;48;39;24756;6067;3876;3122;2503;1948;1259;1175;1313;865;319;559;502;45;216;322;77;75;88;39;74;56;41;55;38;17;31;17;20;3;30;;;4;;;;
Gemert-Bakel;G1652;10277;'s-Hertogenbosch;K18;23600;18778;35;26;18717;4810;2280;2338;3428;1541;652;585;780;504;103;254;386;9;27;222;506;33;51;5;45;24;26;46;11;16;7;5;3;1;19;;;0;;;;
Gennep;G0907;10542;Maastricht;K19;13674;10449;23;25;10401;2552;1396;1291;1341;1021;644;395;475;355;84;160;215;9;61;91;116;26;18;4;40;30;10;22;10;3;9;7;9;;6;;;1;0;;;
Gilze en Rijen;G0784;11375;Tilburg;K17;20316;16102;36;16;16050;4452;2173;1899;1655;1273;870;596;839;417;118;250;389;19;345;268;162;34;44;24;49;28;35;;26;16;11;9;21;5;19;0;;4;;;;
Goeree-Overflakkee;G1924;11067;Dordrecht;K14;40054;33088;56;36;32996;6954;2179;4025;3311;1376;1501;601;1991;808;2567;279;1050;5279;20;350;204;39;175;4;68;50;42;;22;25;27;12;5;19;;;;;9;;4;
Goes;G0664;10674;Middelburg;K16;30538;23992;43;31;23918;5192;3130;2067;2693;1319;1638;975;1258;895;1242;302;607;1534;130;306;205;88;84;27;57;55;27;;20;22;26;9;6;3;;;;1;;;;
Goirle;G0785;10971;Tilburg;K17;18782;15151;20;24;15107;4247;2762;1546;1410;1232;777;688;675;502;94;270;312;8;78;191;52;30;53;10;41;22;25;;10;21;15;8;6;2;18;0;;2;;;;
Gooise Meren;G1942;10281;Haarlem;K10;42981;36722;63;71;36588;10247;8765;2231;3002;1205;1748;1784;1348;1679;591;1562;838;107;342;254;115;114;85;122;100;112;53;33;34;51;;17;12;;18;3;15;;1;;;
Gorinchem;G0512;10942;Dordrecht;K14;28184;21864;82;35;21747;4907;3185;2259;1549;1312;1283;929;1208;706;1103;402;535;497;1031;207;49;94;82;138;61;40;25;;52;22;17;10;12;25;;;;;4;;3;
Gouda;G0513;10302;Leiden;K15;55733;44473;93;90;44290;7546;7238;3960;3136;2294;2621;2796;1913;1988;3029;1161;1090;1940;1746;507;112;217;152;314;143;105;51;;30;45;48;32;38;26;;8;;;;;4;
Grave;G0786;10165;'s-Hertogenbosch;K18;9736;7994;10;12;7972;2158;1161;965;948;744;343;296;372;264;75;142;184;8;8;74;94;20;20;3;26;15;9;13;6;8;3;2;5;0;6;;;0;;;;
Groningen;G0014;10426;Groningen;K1;178904;146229;280;235;145714;19897;33442;8254;8155;11076;12164;15278;5401;8744;5762;8042;2200;668;719;794;588;1702;419;214;531;579;283;194;100;132;;111;65;56;62;38;44;;;;;
Gulpen-Wittem;G1729;11032;Maastricht;K19;11812;9702;11;9;9682;2026;1053;1412;1697;621;790;416;455;367;90;154;167;26;10;120;153;13;13;1;18;15;9;11;13;5;12;6;3;;5;;;0;1;;;
Haaksbergen;G0158;11435;Zwolle;K4;19407;16094;35;31;16028;3772;1973;1724;3535;947;698;362;704;327;179;203;363;38;226;131;651;24;48;3;30;16;14;20;10;6;6;3;3;3;;3;;3;3;;;
Haarlem;G0392;10357;Haarlem;K10;116791;94270;332;138;93800;16491;21519;6865;4356;5155;6443;8780;3593;6136;1427;4571;1604;212;2734;823;122;1051;288;270;330;286;107;248;77;97;;57;30;;61;15;35;;17;;;
Haarlemmermeer;G0394;11387;Haarlem;K10;114623;91180;190;172;90818;25857;13710;10562;7863;4015;4007;3571;4725;3218;2174;1850;2859;628;1571;1216;288;667;378;391;298;201;204;216;99;70;;46;45;;51;15;15;;8;;;
Halderberge;G1655;10397;Tilburg;K17;28173;17877;35;20;17822;5517;2002;2881;1716;1374;734;477;961;364;161;197;457;21;276;232;153;29;78;23;38;25;27;;17;12;11;7;8;8;13;1;;2;;;;
Hardenberg;G0160;10174;Zwolle;K4;47554;39349;70;43;39236;7433;2941;4398;7721;1913;1618;773;2233;602;4594;386;847;743;31;506;1976;39;122;6;67;36;57;75;28;16;21;8;15;23;;0;;6;2;;;
Harderwijk;G0243;10786;Arnhem;K7;36543;29633;50;46;29537;7162;3611;2695;3536;1085;1128;1107;1337;865;3032;436;800;744;1016;184;220;72;88;73;74;55;48;50;19;21;40;10;9;19;;1;;;;;;
Hardinxveld-Giessendam;G0523;10167;Dordrecht;K14;13818;11690;13;1;11676;2041;584;1045;1237;346;459;141;609;184;2034;71;262;2335;34;83;58;6;26;12;16;17;16;;7;8;9;3;4;24;;;;;5;;0;
Harlingen;G0072;10909;Leeuwarden;K2;12546;9956;9;20;9927;1956;1101;1285;1202;820;941;338;666;449;347;136;220;62;11;130;79;24;33;7;23;25;11;17;8;4;;5;10;8;;;4;;;4;;1
Hattem;G0244;10673;Arnhem;K7;9488;8111;13;6;8092;1501;1022;607;1140;378;616;284;308;197;1398;122;145;169;28;42;55;9;8;4;18;7;4;4;3;7;11;3;0;2;;0;;;;;;
Heemskerk;G0396;10679;Haarlem;K10;30743;24093;49;38;24006;5802;3571;2799;2237;1608;1412;1181;1463;999;347;419;662;57;364;337;127;86;122;52;91;42;51;72;24;37;;7;4;;25;0;4;;4;;;
Heemstede;G0397;11288;Haarlem;K10;20624;18013;19;11;17983;5634;4401;913;1422;578;866;940;449;840;241;829;386;30;57;132;10;55;36;12;33;20;20;21;18;13;;10;5;;4;0;8;;0;;;
Heerde;G0246;10291;Arnhem;K7;14931;12241;23;18;12200;2399;1087;1338;1914;547;669;347;555;303;1799;124;225;423;32;94;209;10;27;3;20;7;14;23;3;4;4;1;1;18;;0;;;;;;
Heerenveen;G0074;10680;Leeuwarden;K2;39975;32096;61;56;31979;6262;4687;3018;3382;2521;3350;1403;2139;1198;1066;501;576;129;223;255;636;76;123;32;88;63;55;65;20;31;;10;27;21;;;7;;;13;;2
Heerhugowaard;G0398;10752;Den Helder;K11;43502;33107;80;57;32970;8460;4863;3396;2926;2226;1760;1483;2197;1175;662;580;898;84;451;450;269;142;230;68;163;88;84;98;38;37;43;27;17;22;27;4;;;2;;;
Heerlen;G0917;10902;Maastricht;K19;68784;47800;559;114;47127;7298;4737;9474;3393;5713;3297;1965;4607;2094;376;609;682;75;681;771;118;187;179;113;134;146;52;108;63;45;95;13;20;;61;;;11;10;;;
Heeze-Leende;G1658;10462;'s-Hertogenbosch;K18;12987;10900;9;23;10868;3340;1769;1056;1409;647;441;394;417;340;117;241;237;4;13;106;156;11;37;4;40;11;12;14;12;6;19;4;0;1;9;;;1;;;;
Heiloo;G0399;10793;Den Helder;K11;19229;16910;23;20;16867;4504;3549;1075;1533;753;1030;981;643;948;274;468;447;32;35;141;86;44;48;7;77;49;20;18;17;17;34;11;11;6;9;0;;;0;;;
Hellendoorn;G0163;10806;Zwolle;K4;28457;24140;35;22;24083;5412;2700;2193;5618;1312;932;624;1068;443;1192;283;519;182;41;181;1003;32;96;9;45;34;19;40;14;8;12;7;41;20;;1;;0;2;;;
Hellevoetsluis;G0530;11078;Dordrecht;K14;31627;23699;31;40;23628;5932;2528;3910;1504;1634;1235;621;2169;822;427;279;1079;93;348;382;104;88;133;35;89;50;36;;28;23;18;18;12;19;;;;;8;;4;
Helmond;G0794;10932;'s-Hertogenbosch;K18;67212;47993;85;80;47828;11443;5905;7835;3819;4252;2008;1975;3282;1377;372;876;969;59;1487;682;157;145;262;236;146;96;91;89;61;36;44;20;23;16;58;;;7;;;;
Hendrik-Ido-Ambacht;G0531;10416;Dordrecht;K14;23105;19271;22;30;19219;4799;2019;1993;1642;865;652;478;1066;439;1281;161;667;2400;186;170;41;58;71;56;40;25;24;;18;14;9;7;16;12;;;;;9;;1;
Hengelo;G0164;10907;Zwolle;K4;63414;49573;105;100;49368;9759;7143;5296;6989;3971;3221;2303;2783;1637;1127;1166;1139;180;864;436;415;188;164;36;136;107;56;80;28;25;31;21;23;34;;5;;0;5;;;
